Ward No.,Community/Public,Location of all the Public Toilets,"Status of the Toilet
(Constructed/Under Construction)","Unique ID of CT/PT
 (if th ULB says YES in the above question)","Landmark
(Nearest Residential Area/
Commercial Area)",Whether the PTU has been monitized?,Type of Monitization,ICT Feedback device (wall mounted) installed?,,,,,Located on Google Maps,"Whether IEC Messaging (Suresh Raina - Swachh Sauchalaya) of
 MoUD 2017 is avaiable at the CT/PT? "
17,Public,"11, New Timber Market, Ganj Peth, Pune, Maharashtra 411002, India",Constructed,PMC/017/PTB/099,"11, New Timber Market, Ganj Peth, Pune, Maharashtra 411002, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
17,Public,"443, Raut Road, Harka Nagar, Kalewadi, Pune, Maharashtra 411042, India",Constructed,PMC/017/PTB/100,"443, Raut Road, Harka Nagar, Kalewadi, Pune, Maharashtra 411042, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
17,Public,"419, Kenjale Chowk Road, Budhwar Peth, Pune, Maharashtra 411002, India",Constructed,PMC/017/PTB/101,"419, Kenjale Chowk Road, Budhwar Peth, Pune, Maharashtra 411002, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
17,Public,"1271, Phalke Road, Badade wada, New Nana Peth, Ganesh Peth, Pune, Maharashtra 411002, India",Constructed,PMC/017/PTB/102,"1271, Phalke Road, Badade wada, New Nana Peth, Ganesh Peth, Pune, Maharashtra 411002, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
18,Public," Ganj Peth, Pune, Maharashtra 411002, India",Constructed,PMC/018/PTB/103,"Savitribai Fule Road,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
18,Public,"556, Maharana Pratap Road, Ganesh Peth, Pune, Maharashtra 411002, India",Constructed,PMC/018/PTB/104,"556, Maharana Pratap Road, Ganesh Peth, Pune, Maharashtra 411002, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
18,Public,"306, Savitribai Phule Road, Ghorpade Peth, Ganj Peth, Pune, Maharashtra 411042, India",Constructed,PMC/018/PTB/105,"306, Savitribai Phule Road, Ghorpade Peth, Ganj Peth, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
18,Public,"270/C, Jawaharlal Nehru Road, Mahatma Phule Peth, Kalewadi, Pune, Maharashtra 411042, India",Constructed,PMC/018/PTB/106,"270/C, Jawaharlal Nehru Road, Mahatma Phule Peth, Kalewadi, Pune, Maharashtra 411042, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
18,Public,"RB-IV A, Shankar Sheth Road, Swargate, Pune, Maharashtra 411037, India",Constructed,PMC/018/PTB/107,"RB-IV A, Shankar Sheth Road, Swargate, Pune, Maharashtra 411037, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
18,Public,"1, Shankar Sheth Road, Swargate, Pune, Maharashtra 411037, India",Constructed,PMC/018/PTB/108,"1, Shankar Sheth Road, Swargate, Pune, Maharashtra 411037, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
19,Public," Ganj Peth, Pune, Maharashtra 411042, India",Constructed,PMC/019/PTB/109,"Krantiveer Slave Path,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
19,Public,"Bhawani Peth, Pune, Maharashtra 411042, India",Constructed,PMC/019/PTB/110,"300, Kanhayalal Sanghvi Path",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
19,Public," Katad Khana, Pune, Maharashtra 411042, India",Constructed,PMC/019/PTB/111,"708/49, Guru Nanak Nagar, Shanti Nagar Society,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
19,Public,"Ganj Peth, Pune, Maharashtra 411042, India",Constructed,PMC/019/PTB/112,"Lohiya Nagar Road, Lohiya Nagar, New Timber Market, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
19,Public,"D2, Mamunji Colony, Bhawani Peth, Pune, Maharashtra 411042, India",Constructed,PMC/019/PTB/113,"D2, Mamunji Colony, Bhawani Peth, Pune, Maharashtra 411042, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
20,Public," Bhawani Peth, Pune, Maharashtra 411042, India",Constructed,PMC/020/PTB/114,"374, Padamjee Road.",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
20,Public," Ganesh Peth, Pune, Maharashtra 411002, India",Constructed,PMC/020/PTB/115,"5, Bodkewadi, New Nana Peth",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
20,Public," Sangamvadi, Pune, Maharashtra 411001, India",Constructed,PMC/020/PTB/116,"12, Tadiwala Road, Lumbini Nagar",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
20,Public," Agarkar Nagar, Pune, Maharashtra 411001, India",Constructed,PMC/020/PTB/117,"16, Connaught Road",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
20,Public,"14, Sadhu Vaswani Road, Agarkar Nagar, Pune, Maharashtra 411001, India",Constructed,PMC/020/PTB/118,"14, Sadhu Vaswani Road, Agarkar Nagar, Pune, Maharashtra 411001, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
20,Public,"3, Pandita Ramabai Rasta, New Nana Peth, Sadar Bazaar, Pune, Maharashtra 411001, India",Constructed,PMC/020/PTB/119,"3, Pandita Ramabai Rasta, New Nana Peth, Sadar Bazaar, Pune, Maharashtra 411001, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
21,Public," Sangamvadi, Pune, Maharashtra 411001, India",Constructed,PMC/021/PTB/120,"Chatrapati Shahu Maharaj Road,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
21,Public," Ghorpuri, Pune, Maharashtra 411036, India",Constructed,PMC/021/PTB/121,"Bfc Road,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
21,Public," Ghorpuri, Pune, Maharashtra 411001, India",Constructed,PMC/021/PTB/122,"16, BT Kawade Road, Palmgrove Society, Uday Baug,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
21,Public,"Akluj - Phule Nagar Road, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India",Constructed,PMC/021/PTB/123,"Akluj - Phule Nagar Road, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
21,Public,"1/2, Lane Number 6, Liberty Phase 2, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India",Constructed,PMC/021/PTB/124,"1/2, Lane Number 6, Liberty Phase 2, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
21,Public,"4, Mundhwa Road, Spring Blossom Society, Pingale Wasti, Koregaon Park Annexe, Mundhwa, Pune, Maharashtra 411036, India",Constructed,PMC/021/PTB/125,"4, Mundhwa Road, Spring Blossom Society, Pingale Wasti, Koregaon Park Annexe, Mundhwa, Pune, Maharashtra 411036, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
21,Public,"Saswad Road, Ramtekdi Industrial Area, Hadapsar, Pune, Maharashtra 411040, India",Constructed,PMC/021/PTB/126,"Saswad Road, Ramtekdi Industrial Area, Hadapsar, Pune, Maharashtra 411040, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
21,Public,"Bfc Road, Shravasti Nagar, Ghorpuri, Pune, Maharashtra 411001, India",Constructed,PMC/021/PTB/127,"Bfc Road, Shravasti Nagar, Ghorpuri, Pune, Maharashtra 411001, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
21,Public,"14, D Lane, Damco Society, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India",Constructed,PMC/021/PTB/128,"14, D Lane, Damco Society, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
21,Public,"Akluj - Phule Nagar Road, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India",Constructed,PMC/021/PTB/129,"Akluj - Phule Nagar Road, Ragvilas Society, Koregaon Park, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
21,Public,"E3, Mundhwa Road, Fatima Nagar, Pingale Wasti, Koregaon Park Annexe, Mundhwa, Pune, Maharashtra 411036, India",Constructed,PMC/021/PTB/130,"E3, Mundhwa Road, Fatima Nagar, Pingale Wasti, Koregaon Park Annexe, Mundhwa, Pune, Maharashtra 411036, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
22,Public," Mundhwa, Pune, Maharashtra 411036, India",Constructed,PMC/022/PTB/131,"39, Florida Estate Road, badhe vasti",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
22,Public,"13/14, Pune - Solapur Road, Malwadi, Hadapsar, Pune, Maharashtra 411028, India",Constructed,PMC/022/PTB/132,"13/14, Pune - Solapur Road, Malwadi, Hadapsar, Pune, Maharashtra 411028, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
22,Public,"110, Magarpatta Road, North Hadapsar, Hadapsar, Pune, Maharashtra 411028, India",Constructed,PMC/022/PTB/133,"110, Magarpatta Road, North Hadapsar, Hadapsar, Pune, Maharashtra 411028, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
22,Public,"20, Nh 9, Lohiya Nagar, Laxmi Vihar, Hadapsar, Pune, Maharashtra 411028, India",Constructed,PMC/022/PTB/134,"20, Nh 9, Lohiya Nagar, Laxmi Vihar, Hadapsar, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
23,Public," Hadapsar, Pune, Maharashtra 411028, India",Constructed,PMC/023/PTB/135,"102, Hadapsar - Saswad - Jejuri Road, Hadapsar Gaon,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
23,Public,"9, Mantri Market Road, Hadapsar Gaon, Hadapsar, Pune, Maharashtra 411028, India",Constructed,PMC/023/PTB/136,"9, Mantri Market Road, Hadapsar Gaon, Hadapsar, Pune, Maharashtra 411028, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
23,Public,"1, Solapur - Pune Hwy, Gadital, Malwadi, Hadapsar, Pune, Maharashtra 411028, India",Constructed,PMC/023/PTB/137,"1, Solapur - Pune Hwy, Gadital, Malwadi, Hadapsar, Pune, Maharashtra 411028, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
23,Public,"3, Pandharpur Road, Nataraj Colony, Gokhalenagar, Satavwadi, Hadapsar, Pune, Maharashtra 411028, India",Constructed,PMC/023/PTB/138,"3, Pandharpur Road, Nataraj Colony, Gokhalenagar, Satavwadi, Hadapsar, Pune, Maharashtra 411028, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
23,Public,"RH 100, Solapur - Pune Hwy, Hadapsar, Pune, Maharashtra 412307, India",Constructed,PMC/023/PTB/139,"RH 100, Solapur - Pune Hwy, Hadapsar, Pune, Maharashtra 412307, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
25,Public," Kondhwa, Pune, Maharashtra 411040, India",Constructed,PMC/025/PTB/140,"C1/18, Heaven Hills Co Operativ Society,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
25,Public," Kondhwa, Pune, Maharashtra 411048, India",Constructed,PMC/025/PTB/141,"NIBM Galli Number 2, Kausar Baugh,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
25,Public," Wanwadi, Pune, Maharashtra 411040, India",Constructed,PMC/025/PTB/142,"Wanwadi Bazar Road,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
25,Public," Kondhwa, Pune, Maharashtra 411048, India",Constructed,PMC/025/PTB/143,"9a, Salunke Vihar Road,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
25,Public,"Firdaus, 1, Ground Floor, Vitthal Rao Shivarkar Road, Parmar Nagar, Wanwadi, Pune, Maharashtra 411040, India",Constructed,PMC/025/PTB/144,"Firdaus, 1, Ground Floor, Vitthal Rao Shivarkar Road, Parmar Nagar, Wanwadi, Pune, Maharashtra 411040, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
25,Public,"Bhagyoday Nagar Road, Bhagyoday Nagar, Badhan Nagar, Kondhwa, Pune, Maharashtra 411048, India",Constructed,PMC/025/PTB/145,"Bhagyoday Nagar Road, Bhagyoday Nagar, Badhan Nagar, Kondhwa, Pune, Maharashtra 411048, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
25,Public,"Kondhwa Budruk Village Road, Ambedkar Nagar, Kondhwa, Pune, Maharashtra 411048, India",Constructed,PMC/025/PTB/146,"Kondhwa Budruk Village Road, Ambedkar Nagar, Kondhwa, Pune, Maharashtra 411048, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
25,Public,"S.N. 51/2, St Shiromani N Maharaja Path, SRPF, Wanowrie, Pune, Maharashtra 411040, India",Constructed,PMC/025/PTB/147,"S.N. 51/2, St Shiromani N Maharaja Path, SRPF, Wanowrie, Pune, Maharashtra 411040, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
25,Public,"87, Salunke Vihar Road, Borade Nagar, Wanowrie, Pune, Maharashtra 411040, India",Constructed,PMC/025/PTB/148,"87, Salunke Vihar Road, Borade Nagar, Wanowrie, Pune, Maharashtra 411040, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
25,Public,"S.N. 51/2, St Shiromani N Maharaja Path, SRPF, Wanowrie, Pune, Maharashtra 411040, India",Constructed,PMC/025/PTB/149,"S.N. 51/2, St Shiromani N Maharaja Path, SRPF, Wanowrie, Pune, Maharashtra 411040, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
25,Public,"20, Salunke Vihar Road, Clover Village, Wanawadi, Pune, Maharashtra 411040, India",Constructed,PMC/025/PTB/150,"20, Salunke Vihar Road, Clover Village, Wanawadi, Pune, Maharashtra 411040, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
26,Public," Kondhwa, Pune, Maharashtra 411048, India",Constructed,PMC/026/PTB/151,"47, NIBM Galli Number 2, Kausar Baugh,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
26,Public,"3, Kondhwa Road, Kausar Baugh, Kondhwa, Pune, Maharashtra 411048, India",Constructed,PMC/026/PTB/152,"3, Kondhwa Road, Kausar Baugh, Kondhwa, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
26,Public,"87-88/2, Katraj-Hadapsar Bypass Road, Sai Colony, Hadapsar, Pune, Maharashtra 411028, India",Constructed,PMC/026/PTB/153,"87-88/2, Katraj-Hadapsar Bypass Road, Sai Colony, Hadapsar, Pune, Maharashtra 411028, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
26,Public,"St Shiromani N Maharaja Path, Wanawadi Gaon, Wanwadi, Pune, Maharashtra 411040, India",Constructed,PMC/026/PTB/154,"St Shiromani N Maharaja Path, Wanawadi Gaon, Wanwadi, Pune, Maharashtra 411040, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
26,Public,"63/1/2, Kondhwa Budruk, Pune, Maharashtra 411048, India",Constructed,PMC/026/PTB/155,"63/1/2, Kondhwa Budruk, Pune, Maharashtra 411048, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
26,Public,"65-A, Clover Village, Wanowrie, Pune, Maharashtra 411040, India",Constructed,PMC/026/PTB/156,"65-A, Clover Village, Wanowrie, Pune, Maharashtra 411040, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
26,Public,"14, Wanwadi, Pune, Maharashtra 411040, India",Constructed,PMC/026/PTB/157,"14, Wanwadi, Pune, Maharashtra 411040, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
26,Public,"7, Salunke Vihar Road, Salunkhe Vihar, Salunkhe Vihar Society, Kondhwa, Pune, Maharashtra 411048, India",Constructed,PMC/026/PTB/158,"7, Salunke Vihar Road, Salunkhe Vihar, Salunkhe Vihar Society, Kondhwa, Pune, Maharashtra 411048, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
26,Public,"Kondhwa Budruk Village Road, Ambedkar Nagar, Kondhwa, Pune, Maharashtra 411048, India",Constructed,PMC/026/PTB/159,"Kondhwa Budruk Village Road, Ambedkar Nagar, Kondhwa,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
26,Public," Kondhwa Budruk, Pune, Maharashtra 411046, India",Constructed,PMC/026/PTB/160," Kondhwa Budruk, Pune, Maharashtra 411046, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
27,Public,"Hadapsar, Pune, Maharashtra 411040, India",Constructed,PMC/027/PTB/161,"Saswad Road, Ramtekdi Industrial Area, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
27,Public,"Katraj, Pune, Maharashtra 411046, India",Constructed,PMC/027/PTB/162,"29/3/2, Katraj - Kondhwa Road, Bibwewadi Annex, Rajas Society, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
27,Public,"Katraj, Pune, Maharashtra 411046, India",Constructed,PMC/027/PTB/163,"Plot No. 15, Katraj - Kondhwa Road, Rajas Society, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
27,Public,"Vasantrao Jadhav Road, AWHO Hadapsar Colony, Fursungi, Pune, Maharashtra 411028, India",Constructed,PMC/027/PTB/164,"Vasantrao Jadhav Road, AWHO Hadapsar Colony, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
27,Public,"46, Unity Park Road, Metha Nagar, Kondhwa, Pune, Maharashtra 411048, India",Constructed,PMC/027/PTB/165,"46, Unity Park Road, Metha Nagar, Kondhwa, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
28,Public," Camp, Pune, Maharashtra 411037, India",Constructed,PMC/028/PTB/166,"NP 50, CTC Road, Salisbury Park,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
28,Public,", Swargate, Pune, Maharashtra 411037, India",Constructed,PMC/028/PTB/167,"2, Shankar Sheth Road",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
28,Public,"65/G/46, SAU Minatai Thakre Vasahat Road, T.M.V. Colony, Gultekdi, Pune, Maharashtra 411037, India",Constructed,PMC/028/PTB/168,"65/G/46, SAU Minatai Thakre Vasahat Road, T.M.V. Colony, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
28,Public,"8, Akluj - Phule Nagar Road, Vasani Nagar, Koregaon Park, Pune, Maharashtra 411001, India",Constructed,PMC/028/PTB/169,"8, Akluj - Phule Nagar Road, Vasani Nagar, Koregaon Park,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
28,Public,"430/A, Shankar Rao Lohane Marg, P and T Colony, Gultekdi, Pune, Maharashtra 411037, India",Constructed,PMC/028/PTB/170,"430/A, Shankar Rao Lohane Marg, P and T Colony, Gultekdi, Pune, Maharashtra 411037, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
28,Public,"Gidney Park Road, Salisbury Park, Bibvewadi, Pune, Maharashtra 411037, India",Constructed,PMC/028/PTB/171,"Gidney Park Road, Salisbury Park, Bibvewadi, Pune, Maharashtra 411037, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
29,Public," Sadashiv Peth, Pune, Maharashtra 411030, India",Constructed,PMC/029/PTB/172,"31, Oval Path, Rajendra Nagar, Navi Peth,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
29,Public," Parvati Paitha, Pune, Maharashtra 411009, India",Constructed,PMC/029/PTB/173,"H15, Laxmi Nagar,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
29,Public,"Plot No. 545, Narveer Tanaji Malusare Road, Sarita Vihar Phase 2, Dattavadi, Pune, Maharashtra 411030, India",Constructed,PMC/029/PTB/174,"Plot No. 545, Narveer Tanaji Malusare Road, Sarita Vihar Phase 2, Dattavadi, Pune, Maharashtra 411030, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
29,Public,"85, Walvekar Nagar, Parvati Paitha, Pune, Maharashtra 411009, India",Constructed,PMC/029/PTB/175,"85, Walvekar Nagar, Parvati Paitha, Pune, Maharashtra 411009, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
29,Public,"64, Shahu College Road, Mayuresh Society, Sivadarshan Poorgrasta Vasahat, Parvati Paitha, Pune, Maharashtra 411009, India",Constructed,PMC/029/PTB/176,"64, Shahu College Road, Mayuresh Society, Sivadarshan Poorgrasta Vasahat, Parvati Paitha,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
29,Public,"871, Lane Number 60, Janta Vasahat, Jai Bhawani Nagar, Parvati Paitha, Pune, Maharashtra 411009, India",Constructed,PMC/029/PTB/177,"871, Lane Number 60, Janta Vasahat, Jai Bhawani Nagar, Parvati Paitha, Pune, Maharashtra 411009, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
29,Public,"1003, Golvalkar Guruji Path, Bodh Basti, Parvati Paitha, Pune, Maharashtra 411009, India",Constructed,PMC/029/PTB/178,"1003, Golvalkar Guruji Path, Bodh Basti, Parvati Paitha, Pune, Maharashtra 411009, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
29,Public,"62/4B/2, Narveer Tanaji Malusare Road, Sarita Vihar, Dattavadi, Pune, Maharashtra 411030, India",Constructed,PMC/029/PTB/179,"62/4B/2, Narveer Tanaji Malusare Road, Sarita Vihar, Dattavadi, Pune, Maharashtra 411030, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
29,Public,"286, Sahakarnagar No - 2, Rajyavahatuk society, Parvati Paitha, Pune, Maharashtra 411009, India",Constructed,PMC/029/PTB/180,"286, Sahakarnagar No - 2, Rajyavahatuk society, Parvati Paitha, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
29,Public,"4, Taware Colony, Parvati Paitha, Pune, Maharashtra 411009, India",Constructed,PMC/029/PTB/181,"4, Taware Colony, Parvati Paitha, Pune, Maharashtra 411009, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
29,Public,"26, Sane Guruji Road, Municipal Colony, Pune, Maharashtra 411030, India",Constructed,PMC/029/PTB/182,"26, Sane Guruji Road, Municipal Colony, Pune, Maharashtra 411030, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
29,Public,"26, Pune - Bengaluru Hwy, Sahakar Nagar, Parvati Paitha, Pune, Maharashtra 411009, India",Constructed,PMC/029/PTB/183,"26, Pune - Bengaluru Hwy, Sahakar Nagar, Parvati Paitha, Pune, Maharashtra 411009, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
30,Public," Dattavadi, Pune, Maharashtra 411030, India",Constructed,PMC/030/PTB/184,"18, Chaugule Path, Sitabag Colony,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
31,Public,"2, Warje Malwadi Road, Karve Nagar, Pune, Maharashtra 411052, India",Constructed,PMC/031/PTB/185,"2, Warje Malwadi Road, Karve Nagar, Pune, Maharashtra 411052, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
32,Public," Warje, Pune, Maharashtra 411052, India",Constructed,PMC/032/PTB/186,"Chauk - Karjat - Murbad Road,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
32,Public,"24/4/2, Late Narayanrao Kondiba Jagtap Path, Vittalvadi, Hingne Khurd, Pune, Maharashtra 411051, India",Constructed,PMC/032/PTB/187,"24/4/2, Late Narayanrao Kondiba Jagtap Path, Vittalvadi, Hingne Khurd, Pune, Maharashtra 411051, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
32,Public,"129/12, Warje Malwadi Road, Warje, Pune, Maharashtra 411052, India",Constructed,PMC/032/PTB/188,"129/12, Warje Malwadi Road, Warje, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
33,Public,"Narhe, Pune, Maharashtra 411041, India",Constructed,PMC/033/PTB/189,"6, Narveer Tanaji Malusare Road, Wadgaon Budruk, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
33,Public,"6, Narveer Tanaji Malusare Road, Wadgaon Budruk, Narhe, Pune, Maharashtra 411041, India",Constructed,PMC/033/PTB/190,"6, Narveer Tanaji Malusare Road, Wadgaon Budruk, Narhe, Pune, Maharashtra 411041, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
33,Public,"Chauk - Karjat - Murbad Road, Kudale Baug, Vadgaon Budruk, Pune, Maharashtra 411041, India",Constructed,PMC/033/PTB/191,"Chauk - Karjat - Murbad Road, Kudale Baug, Vadgaon Budruk,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
33,Public,"6, Narveer Tanaji Malusare Road, Wadgaon Budruk, Narhe, Pune, Maharashtra 411041, India",Constructed,PMC/033/PTB/192,"6, Narveer Tanaji Malusare Road, Wadgaon Budruk, Narhe, Pune, Maharashtra 411041, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
33,Public,"29/3/2, Katraj - Kondhwa Road, Bibwewadi Annex, Rajas Society, Katraj, Pune, Maharashtra 411046, India",Constructed,PMC/033/PTB/193,"29/3/2, Katraj - Kondhwa Road, Bibwewadi Annex, Rajas Society, Katraj, Pune, Maharashtra 411046, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
33,Public,"15/2, Sinhagad Road, Industrial Area, Nanded Fata, Pandurang Industrial Area, Nanded, Pune, Maharashtra 411041, India",Constructed,PMC/033/PTB/194,"15/2, Sinhagad Road, Industrial Area, Nanded Fata, Pandurang Industrial Area, Nanded, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
33,Public,"6, Narveer Tanaji Malusare Road, Wadgaon Budruk, Narhe, Pune, Maharashtra 411041, India",Constructed,PMC/033/PTB/195,"6, Narveer Tanaji Malusare Road, Wadgaon Budruk, Narhe, Pune, Maharashtra 411041, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
