Ward No.,Community/Public,Location of all the Public Toilets,"Status of the Toilet
(Constructed/Under Construction)","Unique ID of CT/PT
 (if th ULB says YES in the above question)","Landmark
(Nearest Residential Area/
Commercial Area)",Whether the PTU has been monitized?,Type of Monitization,ICT Feedback device (wall mounted) installed?,,,,,Located on Google Maps,"Whether IEC Messaging (Suresh Raina - Swachh Sauchalaya) of
 MoUD 2017 is avaiable at the CT/PT? "
6,Public,"Pune - Ahmednagar Road, Mother Teresa Nagar, Kashmiri Colony, Yerawada, Pune, Maharashtra 411006, India",Constructed,PMC/006/PTB/031,"Pune - Ahmednagar Road, Mother Teresa Nagar, Kashmiri Colony, Yerawada, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
6,Public,"Swatantrya Sainik Nagar Road, Swatantrya Sainik Nagar, Yerawada, Pune, Maharashtra 411006, India",Constructed,PMC/006/PTB/034,"Swatantrya Sainik Nagar Road, Swatantrya Sainik Nagar, Yerawada, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
6,Public,"25, Samrat Ashok Road, Hermes Heritage Society Phase 1, Shastrinagar, Yerawada, Pune, Maharashtra 411006, India",Constructed,PMC/006/PTB/035,"25, Samrat Ashok Road, Hermes Heritage Society Phase 1, Shastrinagar, Yerawada, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
7,Public," Gokhalenagar, Pune, Maharashtra 411016, India",Constructed,PMC/007/PTB/036,"12, Jethiram Bhima Shelar Path,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
7,Public," Sangamvadi, Pune, Maharashtra 411001, India",Constructed,PMC/007/PTB/037,"Shivaji Nagar Wakdewadi Road, Railway Officers Colony,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
7,Public," Gokhalenagar, Pune, Maharashtra 411053, India",Constructed,PMC/007/PTB/038,"108/8/3, Senapati Bapat Road, Chaturshringi,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
7,Public," Shivajinagar, Pune, Maharashtra 411005, India",Constructed,PMC/007/PTB/039,"24/4, Shivajinagar Railway Station Road, Narveer Tanaji Wadi,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
7,Public,"Shivaji Nagar Wakdewadi Road, Railway Officers Colony, Sangamvadi, Pune, Maharashtra 411001, India",Constructed,PMC/007/PTB/040,"Shivaji Nagar Wakdewadi Road, Railway Officers Colony, Sangamvadi, Pune, Maharashtra 411001, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
7,Public,"15, Gokhalenagar, Pune, Maharashtra 411053, India",Constructed,PMC/007/PTB/041,"15, Gokhalenagar, Pune, Maharashtra 411053, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
7,Public,"Shivaji Nagar Wakdewadi Road, Sangamvadi, Pune, Maharashtra 411005, India",Constructed,PMC/007/PTB/042,"Shivaji Nagar Wakdewadi Road, Sangamvadi, Pune, Maharashtra 411005, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
7,Public,"1107, Ganeshkhind Road, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005, India",Constructed,PMC/007/PTB/043,"1107, Ganeshkhind Road, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
7,Public,"Akshay Complex Road, Sangamvadi, Pune, Maharashtra 411001, India",Constructed,PMC/007/PTB/044,"Akshay Complex Road, Sangamvadi, Pune, Maharashtra 411001, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
7,Public,"Shivaji Nagar Wakdewadi Road, Sangamvadi, Pune, Maharashtra 411005, India",Constructed,PMC/007/PTB/045,"Shivaji Nagar Wakdewadi Road, Sangamvadi,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
7,Public,"140b, Shivajinagar, Pune, Maharashtra 411005, India",Constructed,PMC/007/PTB/046,"140b, Shivajinagar, Pune, Maharashtra 411005, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
7,Public,"Pedestrian Overpass, Sangamvadi, Pune, Maharashtra 411001, India",Constructed,PMC/007/PTB/047,"Pedestrian Overpass, Sangamvadi,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
7,Public,"71 WARD, Railway Officers Colony, Sangamvadi, Pune, Maharashtra 411001, India",Constructed,PMC/007/PTB/048,"71 WARD, Railway Officers Colony, Sangamvadi, Pune, Maharashtra 411001, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
7,Public,"B1, Ladkatwadi Road, Sangamvadi, Pune, Maharashtra 411001, India",Constructed,PMC/007/PTB/049,"B1, Ladkatwadi Road, Sangamvadi, Pune, Maharashtra 411001, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
7,Public,"4, Boat Club Road, Bund Garden, Sangamvadi, Pune, Maharashtra 411001, India",Constructed,PMC/007/PTB/050,"4, Boat Club Road, Bund Garden, Sangamvadi, Pune, Maharashtra 411001, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
8,Public," Aundh, Pune, Maharashtra 411027, India",Constructed,PMC/008/PTB/051,"151, Sangvi Kesri Road, Ward No. 8, Aundh Gaon,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
